epoch,train_avg_loss,train_avg_top1,train_avg_top5,alpha_videomae,alpha_timesformer,alpha_vivit,eval_top1,eval_top5
1,2.048,23.7,73.99,0.0062,0.9954,0.7046,37.2,86.59
2,1.286,50.72,95.81,0.001,0.9991,0.9481,37.8,92.38
3,1.019,61.99,97.69,0.001,0.9991,0.9567,46.65,95.12
4,0.858,66.62,98.27,0.001,0.999,0.9478,40.55,92.99
5,0.669,75.0,98.84,0.001,0.999,0.9616,45.73,92.68
6,0.609,76.45,98.84,0.001,0.999,0.9554,45.12,91.46
7,0.493,83.38,99.13,0.001,0.999,0.9563,45.43,92.38
8,0.374,87.57,98.99,0.001,0.999,0.9203,46.04,89.63
9,0.316,89.16,99.86,0.001,0.999,0.8694,48.48,93.6
10,0.364,86.85,99.13,0.001,0.999,0.9062,49.7,93.6
11,0.277,90.03,99.86,0.001,0.999,0.8773,49.09,94.21
12,0.23,92.2,99.57,0.001,0.999,0.8043,44.51,93.6
13,0.222,91.04,99.57,0.001,0.999,0.859,48.48,93.6
14,0.31,90.03,99.28,0.001,0.999,0.6093,48.78,93.6
15,0.217,92.49,99.57,0.001,0.999,0.5173,42.99,93.9
16,0.273,90.03,99.57,0.001,0.9991,0.5604,46.65,93.9
17,0.165,94.65,99.57,0.001,0.9991,0.5415,46.34,92.07
18,0.148,94.51,99.71,0.001,0.999,0.575,42.07,93.6
19,0.086,97.11,100.0,0.001,0.999,0.5231,45.73,91.46
20,0.122,95.09,99.86,0.001,0.999,0.4878,47.87,90.24
21,0.136,95.52,100.0,0.001,0.999,0.4384,60.67,98.17
22,0.079,97.25,100.0,0.001,0.999,0.4853,67.07,98.17
23,0.237,93.21,99.57,0.001,0.999,0.4888,64.63,98.17
24,0.152,94.51,99.28,0.001,0.999,0.4685,68.9,98.78
25,0.124,95.52,99.71,0.001,0.999,0.483,76.22,99.39
26,0.177,94.8,99.42,0.001,0.999,0.4319,71.95,99.09
27,0.119,95.66,99.86,0.001,0.999,0.3655,76.52,99.09
28,0.107,96.68,100.0,0.001,0.999,0.3901,71.04,99.09
29,0.08,96.97,100.0,0.001,0.999,0.3858,74.09,100.0
30,0.119,95.66,99.86,0.001,0.999,0.3618,75.61,99.39
31,0.146,93.93,100.0,0.001,0.999,0.494,73.48,99.7
32,0.105,95.81,100.0,0.001,0.999,0.4446,77.74,99.39
33,0.094,96.97,99.86,0.0011,0.999,0.4169,73.48,99.7
34,0.135,95.66,99.86,0.0011,0.999,0.4526,77.44,99.7
35,0.115,95.66,100.0,0.0012,0.999,0.4565,75.3,99.7
36,0.096,96.24,100.0,0.0014,0.999,0.3116,80.49,100.0
37,0.089,96.39,100.0,0.0015,0.999,0.2304,80.79,100.0
38,0.157,95.09,99.86,0.0017,0.999,0.2258,79.27,100.0
39,0.068,97.69,100.0,0.0018,0.999,0.2368,77.13,99.7
40,0.115,96.53,100.0,0.0018,0.999,0.3087,77.13,99.7
41,0.053,97.83,100.0,0.0019,0.999,0.3312,80.18,99.39
42,0.058,97.54,99.86,0.002,0.999,0.2859,79.27,99.39
43,0.15,95.09,99.86,0.0015,0.9989,0.2939,82.62,100.0
44,0.076,97.25,100.0,0.0015,0.9989,0.2703,79.57,99.7
45,0.067,97.54,100.0,0.0016,0.9989,0.237,78.96,99.7
46,0.146,96.1,99.57,0.0013,0.9988,0.2097,80.18,99.7
47,0.121,96.97,100.0,0.0009,0.9987,0.3248,81.1,99.39
48,0.136,95.52,99.86,0.0009,0.9986,0.2296,80.18,99.39
49,0.07,97.83,100.0,0.0009,0.9907,0.2263,74.7,99.39
50,0.061,97.83,100.0,0.0009,0.9993,0.2383,72.87,99.7
