epoch,train_avg_loss,train_avg_top1,train_avg_top5,alpha_videomae,alpha_timesformer,alpha_vivit,eval_top1,eval_top5
1,1.378,66.95,90.48,0.9941,0.4176,0.7218,16.6,47.14
2,0.734,81.42,95.67,0.9998,0.1233,0.0,23.18,59.66
3,0.456,87.27,98.45,0.9954,0.0799,0.0,40.4,73.1
4,0.367,88.97,98.96,0.8769,0.0981,0.0,43.76,77.11
5,0.297,90.6,99.36,0.7705,0.0907,0.0,44.48,78.33
6,0.26,91.98,99.55,0.7131,0.0738,0.0,44.05,78.68
7,0.233,92.72,99.77,0.6617,0.0585,0.0,44.98,74.46
8,0.209,93.78,99.79,0.5981,0.0553,0.0,49.84,80.26
9,0.174,94.89,99.79,0.562,0.044,0.0,51.13,81.12
10,0.153,95.25,99.79,0.5377,0.0469,0.0,51.99,80.9
11,0.139,95.67,99.89,0.5273,0.0428,0.0,50.77,79.76
12,0.127,96.2,99.94,0.5083,0.034,0.0,47.77,75.39
13,0.127,96.37,99.96,0.4825,0.0367,0.0001,48.84,78.18
14,0.138,95.69,99.94,0.459,0.0361,0.0,53.78,81.55
15,0.113,96.44,99.94,0.4382,0.0383,0.0,51.99,76.25
16,0.109,96.46,99.89,0.3974,0.0259,0.0012,39.7,76.47
17,0.11,96.39,99.94,0.3658,0.0265,0.0002,42.78,82.19
18,0.107,96.78,99.94,0.3356,0.0232,0.0,39.99,78.83
19,0.102,96.97,99.94,0.3424,0.021,0.0,42.35,79.61
20,0.099,96.75,99.98,0.3252,0.0207,0.0,47.71,87.12
21,0.095,96.84,99.94,0.3415,0.0327,0.0,47.14,85.19
22,0.094,96.9,99.98,0.3184,0.0275,0.0,48.57,87.63
23,0.09,96.88,100.0,0.2955,0.0316,0.0001,45.57,84.33
24,0.089,96.92,99.96,0.3039,0.0315,0.0,50.14,86.91
25,0.093,97.18,99.94,0.2736,0.0279,0.0,50.93,85.98
26,0.09,97.03,99.94,0.249,0.0214,0.0,51.79,86.98
27,0.079,97.69,99.96,0.2562,0.0168,0.0,55.57,82.4
28,0.077,97.67,99.98,0.2377,0.0172,0.0,62.72,88.48
29,0.085,97.37,99.96,0.2454,0.0202,0.0,62.93,89.13
30,0.079,97.67,100.0,0.247,0.018,0.0,63.51,88.7
31,0.071,97.84,100.0,0.2564,0.0212,0.0,66.29,89.41
32,0.075,97.65,99.98,0.2472,0.021,0.0,65.51,88.48
33,0.081,97.54,99.89,0.231,0.0212,0.0,67.8,90.27
34,0.071,97.75,100.0,0.2111,0.0168,0.0,68.15,90.63
35,0.066,97.79,99.98,0.2089,0.0212,0.0,67.65,90.34
36,0.054,98.39,100.0,0.2013,0.0177,0.0,72.09,91.34
37,0.057,98.11,100.0,0.2137,0.0171,0.0,74.73,90.63
38,0.058,98.18,99.96,0.2084,0.02,0.0,76.37,90.41
39,0.07,97.92,99.98,0.2034,0.0182,0.0,77.02,91.63
40,0.058,97.98,99.98,0.2175,0.0153,0.0,78.88,92.2
41,0.066,98.01,100.0,0.1897,0.0154,0.0,77.01,90.13
42,0.054,98.28,100.0,0.1962,0.0149,0.0,60.73,90.77
43,0.054,98.43,100.0,0.1876,0.0148,0.0,80.88,92.63
44,0.047,98.54,99.98,0.1786,0.018,0.0,80.02,93.28
45,0.036,99.19,100.0,0.188,0.0163,0.0,80.74,93.56
46,0.037,98.92,100.0,0.1855,0.016,0.0,80.31,92.42
47,0.044,98.68,100.0,0.17,0.0172,0.0,80.52,92.13
48,0.042,98.68,100.0,0.1691,0.016,0.0,80.88,92.99
49,0.06,98.15,100.0,0.1674,0.0177,0.0,82.19,92.42
50,0.041,98.54,100.0,0.1647,0.0127,0.0,82.02,93.06
