epoch,train_avg_loss,train_avg_top1,train_avg_top5,alpha_videomae,alpha_timesformer,alpha_vivit,eval_top1,eval_top5
1,1.998,66.18,89.94,0.1979,0.0003,0.185,6.65,20.46
2,1.41,68.95,92.05,0.0,0.0,0.1013,14.62,57.92
3,1.264,72.32,93.27,0.0,0.0,0.0788,15.18,59.24
4,1.166,73.45,94.55,0.0,0.0,0.0732,24.77,62.64
5,1.126,74.29,94.71,0.0,0.0,0.0632,25.63,66.7
6,1.053,75.36,94.72,0.0,0.0,0.0482,36.99,68.22
7,0.991,75.65,94.93,0.0,0.0,0.0394,34.82,69.95
8,0.92,77.05,96.23,0.0,0.0,0.0318,34.31,69.39
9,0.946,76.63,95.55,0.0,0.0,0.0291,34.62,73.91
10,0.913,76.9,95.63,0.0,0.0,0.0267,37.11,74.42
11,0.844,77.99,96.49,0.0,0.0,0.0265,37.51,76.35
12,0.829,78.37,96.61,0.0,0.0,0.0235,37.01,74.72
13,0.807,79.25,96.85,0.0,0.0,0.0215,37.36,76.65
14,0.777,79.5,97.03,0.0,0.0,0.0207,37.72,78.88
15,0.783,79.43,96.67,0.0,0.0,0.0193,39.75,80.51
16,0.779,79.82,96.73,0.0,0.0,0.0192,38.22,81.32
17,0.755,80.12,96.83,0.0,0.0,0.0181,38.88,83.55
18,0.744,80.21,96.97,0.0,0.0,0.0175,40.46,83.2
19,0.751,79.86,97.0,0.0,0.0,0.0162,39.24,82.94
20,0.733,80.33,97.05,0.0,0.0,0.0159,39.29,81.93
21,0.73,80.46,97.02,0.0,0.0,0.0145,46.07,84.97
22,0.713,80.48,97.13,0.0,0.0,0.0146,47.42,84.57
23,0.685,81.67,97.43,0.0,0.0,0.0146,49.59,84.57
24,0.664,82.25,97.52,0.0,0.0,0.0139,51.57,87.72
25,0.653,82.4,97.49,0.0,0.0,0.0136,52.68,92.58
26,0.616,83.16,97.82,0.0,0.0,0.0138,58.61,94.31
27,0.595,83.77,97.99,0.0,0.0,0.0146,63.62,96.13
28,0.581,83.96,98.01,0.0,0.0,0.0139,66.83,96.83
29,0.568,84.31,97.95,0.0,0.0,0.0134,68.62,96.9
30,0.559,84.4,98.15,0.0,0.0,0.0135,71.57,96.63
31,0.557,84.49,98.04,0.0,0.0,0.013,72.73,96.7
32,0.549,84.73,98.24,0.0,0.0,0.0125,76.45,90.66
33,0.525,85.22,98.21,0.0,0.0,0.0126,77.94,91.22
34,0.523,85.2,98.31,0.0,0.0,0.0124,78.94,91.42
35,0.508,85.53,98.34,0.0,0.0,0.0121,81.44,98.25
36,0.49,86.31,98.41,0.0,0.0,0.0131,82.69,98.22
37,0.489,86.17,98.45,0.0,0.0,0.0126,83.54,98.83
38,0.478,86.61,98.56,0.0,0.0,0.0129,83.3,98.07
39,0.482,86.58,98.42,0.0,0.0,0.0125,83.73,98.57
40,0.481,86.6,98.48,0.0,0.0,0.0126,84.99,98.11
41,0.486,86.34,98.54,0.0,0.0,0.0119,87.76,98.07
42,0.476,86.81,98.5,0.0,0.0,0.0125,88.34,98.49
43,0.463,86.68,98.64,0.0,0.0,0.0124,89.91,98.17
44,0.452,87.38,98.72,0.0,0.0,0.0117,89.71,98.3
45,0.452,87.37,98.72,0.0,0.0,0.0121,89.2,98.62
46,0.442,87.45,98.83,0.0,0.0,0.0123,89.3,98.64
47,0.434,87.79,98.81,0.0,0.0,0.0128,90.01,98.74
48,0.432,88.03,98.76,0.0,0.0,0.0123,91.25,98.49
49,0.417,88.29,98.88,0.0,0.0,0.0124,92.65,98.68
50,0.421,88.15,98.83,0.0,0.0,0.0121,92.88,99.21
