Epoch 1 | avg loss: 1.378 | avg top1: 66.95 | avg top5: 90.48
Epoch 1 | Alpha (gate activations): videomae: 0.9941 | timesformer: 0.4176 | vivit: 0.7218
Epoch 2 | avg loss: 0.734 | avg top1: 81.42 | avg top5: 95.67
Epoch 2 | Alpha (gate activations): videomae: 0.9998 | timesformer: 0.1233 | vivit: 0.0000
Epoch 3 | avg loss: 0.456 | avg top1: 87.27 | avg top5: 98.45
Epoch 3 | Alpha (gate activations): videomae: 0.9954 | timesformer: 0.0799 | vivit: 0.0000
Epoch 4 | avg loss: 0.367 | avg top1: 88.97 | avg top5: 98.96
Epoch 4 | Alpha (gate activations): videomae: 0.8769 | timesformer: 0.0981 | vivit: 0.0000
Epoch 5 | avg loss: 0.297 | avg top1: 90.60 | avg top5: 99.36
Epoch 5 | Alpha (gate activations): videomae: 0.7705 | timesformer: 0.0907 | vivit: 0.0000
Epoch 6 | avg loss: 0.260 | avg top1: 91.98 | avg top5: 99.55
Epoch 6 | Alpha (gate activations): videomae: 0.7131 | timesformer: 0.0738 | vivit: 0.0000
Epoch 7 | avg loss: 0.233 | avg top1: 92.72 | avg top5: 99.77
Epoch 7 | Alpha (gate activations): videomae: 0.6617 | timesformer: 0.0585 | vivit: 0.0000
Epoch 8 | avg loss: 0.209 | avg top1: 93.78 | avg top5: 99.79
Epoch 8 | Alpha (gate activations): videomae: 0.5981 | timesformer: 0.0553 | vivit: 0.0000
Epoch 9 | avg loss: 0.174 | avg top1: 94.89 | avg top5: 99.79
Epoch 9 | Alpha (gate activations): videomae: 0.5620 | timesformer: 0.0440 | vivit: 0.0000
Epoch 10 | avg loss: 0.153 | avg top1: 95.25 | avg top5: 99.79
Epoch 10 | Alpha (gate activations): videomae: 0.5377 | timesformer: 0.0469 | vivit: 0.0000
Epoch 11 | avg loss: 0.139 | avg top1: 95.67 | avg top5: 99.89
Epoch 11 | Alpha (gate activations): videomae: 0.5273 | timesformer: 0.0428 | vivit: 0.0000
Epoch 12 | avg loss: 0.127 | avg top1: 96.20 | avg top5: 99.94
Epoch 12 | Alpha (gate activations): videomae: 0.5083 | timesformer: 0.0340 | vivit: 0.0000
Epoch 13 | avg loss: 0.127 | avg top1: 96.37 | avg top5: 99.96
Epoch 13 | Alpha (gate activations): videomae: 0.4825 | timesformer: 0.0367 | vivit: 0.0001
Epoch 14 | avg loss: 0.138 | avg top1: 95.69 | avg top5: 99.94
Epoch 14 | Alpha (gate activations): videomae: 0.4590 | timesformer: 0.0361 | vivit: 0.0000
Epoch 15 | avg loss: 0.113 | avg top1: 96.44 | avg top5: 99.94
Epoch 15 | Alpha (gate activations): videomae: 0.4382 | timesformer: 0.0383 | vivit: 0.0000
Epoch 16 | avg loss: 0.109 | avg top1: 96.46 | avg top5: 99.89
Epoch 16 | Alpha (gate activations): videomae: 0.3974 | timesformer: 0.0259 | vivit: 0.0012
Epoch 17 | avg loss: 0.110 | avg top1: 96.39 | avg top5: 99.94
Epoch 17 | Alpha (gate activations): videomae: 0.3658 | timesformer: 0.0265 | vivit: 0.0002
Epoch 18 | avg loss: 0.107 | avg top1: 96.78 | avg top5: 99.94
Epoch 18 | Alpha (gate activations): videomae: 0.3356 | timesformer: 0.0232 | vivit: 0.0000
Epoch 19 | avg loss: 0.102 | avg top1: 96.97 | avg top5: 99.94
Epoch 19 | Alpha (gate activations): videomae: 0.3424 | timesformer: 0.0210 | vivit: 0.0000
Epoch 20 | avg loss: 0.099 | avg top1: 96.75 | avg top5: 99.98
Epoch 20 | Alpha (gate activations): videomae: 0.3252 | timesformer: 0.0207 | vivit: 0.0000
